この際 委員の異動について御報告 いたします , おはようございます
 現時点 までに 得 られた 諸 情報を 総合的に勘案 いたします と 北朝鮮 は 本日 七 時 三十 四 分 頃 北朝鮮 西 岸 東 倉 里 より 四 発 の 弾道ミサイル を 東 方向 に 発射 した と 見 られます , 私は 実は この 予算委員会 が 始まる 理事会 の 席 で 野党 ではございますが NSC を 開催 をしていただく 場合は 一 時間 でも 早い 一 刻 も 早い NSC の 開催 が必要 だと思いますので その 場合には 予算委員会 を 休憩 に していただいて NSC を 開催 していただいて 結構 だということを 理事会で 申し上げました
 我々 国会 に対する 説明 義務 を負って おりますので 我々としては この委員会 を 委員会 からは そういう 御発言 があった ということを 私は 承知をしておりません ので 我々としては 早い 段階で NSC を 開催 させていただきたい と こう思っております が 同時に 十二 時に お 昼 休 み の 時間 に 開催 をさせていただきたい と こう 思って おる 次第でございます し また 米国 とも 緊 密 に また 韓国 とも 緊 密 に 連携 を していきたい と こう思っております が いずれにいたしましても それは 委員会 において まず お 決め いただきたい と このように 思う 次第でございます が ......( 発言する者あり ) これは 皆さん や じ る ところ じゃない ですよ , 私は 七 時 半 頃 だと 聞いて おった ので 早く やった 方がいい んじゃないか と この委員会 が 九 時 ですから
休憩前に引き続き 質疑を行います , 御苦労 さ ま でございました
私が 弁護士 時代に 森友学園 の 顧問 だった ということ はありません し また 法律 的な 相談 を受けた こと もありません , 私が 聞いて も いない ことを 丁寧に お答え いただいて ありがとうございます
お答え申し上げます , これ 実は いつ かということについて 今 答えて いただいて いない ですね
お答え申し上げます , 三月 三 十一日 が 指定 期 日 なので その 期 日 が 来て もし 認可 が 下 り なかった ら 仮定 の話 ではありません もう 三 十一日 認可 が 下 り る か 下 り ない か
お答え申し上げます , 先ほど 西田 議員 には 随分 ぺ ら ぺ ら 答えて おられた の に 私 には 全然 答えて いただけない わけですね
お答え申し上げます , 契約 を 読んで くれ なんて 言って いない ですよ
お答え申し上げます , これ 森友学園 が 原 状 を 回復 する場合 も 状況 によって は 国が 回復 させること が 適当 で ないと 認めた ときは そのまま 返還 する場合 もある んです
お答えいたします , 現在 支出 しているのは 幾ら ですか 残り 幾ら になっています か
お答えいたします , 五 百四十 九 万六千 円 は いつ 交付 する 予定 ですか
お答えをいたします , これ 九 億円の 土地 を 八 億 撤去 した かどうか 確認 しない で 値 引き をしました
お答え申し上げます , 今 長 々 と 話 して 時間 稼 ぎ も含めて 答弁 書 を 用意 されている んですけど 財産 価格 が 増加 した かどうか の 鑑定 は はっきり 申し上げて していない はず です
お答えを申し上げます , そんなこと だって あなた たち が その 有 益 費 を 支払う 前に 森友 から こんな に 地下 埋 まって います と言って きている じゃないですか
お答え申し上げます , 別の もの でも その前に 情報が 入った ら 財産 価格 は 下がる に 決まっている じゃないですか
お答えを申し上げます , おかしい じゃないですか
お答え申し上げます , 何 言っている んですか
お答え申し上げます , 項目 はある けれども 収入 は 契約 があって ちゃんと 毎年 一千 百万 ずつ 入る と 入っている の に ひ ょ っと したら 一括 して 払って く れる かもしれない 森友 から 何も 言われて いない けど あえて 載せ ませんでした と そんな の予算 書 にならない じゃないですか
お答えを申し上げます , 項目 としては 入る けど ゼロ 円 で 計上 している ということは 記載 していない ということ じゃないですか
